freq, text
257326, the
129522, to
116301, of
101558, and
86803, in
75202, is
69299, that
52488, it
47521, for
45017, you
34935, this
34311, on
33155, be
32791, not
32639, have
32569, are
30232, with
27945, as
25904, or
24559, if
23625, but
23611, was
21982, they
19679, from
19359, by
18380, at
17416, an
16834, what
16763, can
16738, my
16556, all
16291, would
15765, there
15673, one
15412, will
15151, writes
15020, do
14564, about
14333, we
13678, so
13285, has
13234, no
13209, he
13083, your
12919, article
12173, any
11747, me
11734, some
11607, who
11123, which
10801, out
10434, like
10316, people
10282, don't
10227, were
10165, when
10106, just
10064, more
10031, their
9245, up
9181, know
9052, other
8868, them
8799, only
8682, how
8620, get
8609, had
8518, than
8300, been
8085, think
8042, his
7673, also
7286, does
7124, then
7063, time
6932, use
6735, it's
6704, i'm
6550, these
6340, should
6194, could
6038, well
6022, good
6000, new
5995, may
5957, because
5886, now
5861, even
5741, am
5649, see
5501, very
5456, into
5370, way
5302, why
5234, make
5221, two
5220, much
5192, many
5113, those
5067, first
5014, us
5002, right
4991, say
4947, most
4933, such
4750, god
4729, did
4725, our
4480, where
4473, system
4464, want
4430, said
4358, here
4348, being
4334, its
4327, anyone
4287, used
4267, same
4246, over
4226, after
3959, go
3925, work
3921, really
3870, something
3856, need
3819, too
3777, believe
3736, since
3638, him
3632, still
3626, please
3616, problem
3516, back
3469, off
3444, i've
3403, before
3360, going
3328, point
3302, take
3293, find
3267, might
3254, government
3232, better
3218, never
3215, mail
3193, information
3187, using
3168, things
3141, last
3137, both
3100, years
3079, own
3077, while
3075, file
3064, year
3022, thanks
3008, can't
3007, must
3002, windows
2997, sure
2959, without
2956, made
2952, read
2910, etc
2908, question
2871, another
2859, doesn't
2838, through
2821, number
2791, someone
2767, help
2763, fact
2762, got
2758, thing
2756, between
2741, university
2694, down
2690, look
2659, that's
2657, world
2632, part
2632, come
2617, under
2607, available
2600, bit
2592, long
2583, few
2572, program
2565, data
2557, anything
2552, day
2549, drive
2519, case
2501, against
2496, each
2495, however
2493, law
2481, didn't
2480, power
2476, little
2465, around
2425, again
2415, every
2408, give
2405, different
2401, seems
2390, true
2375, state
2336, least
2331, probably
2320, space
2311, actually
2291, best
2285, course
2265, enough
2262, software
2252, put
2252, set
2239, try
2218, tell
2197, lot
2196, great
2186, game
2174, life
2171, real
2156, key
2133, though
2132, her
2129, either
2127, she
2124, david
2121, run
2116, support
2100, says
2097, called
2094, far
2094, nothing
2092, car
2092, name
2091, high
2080, jesus
2079, computer
2070, mean
2056, line
2033, group
2032, rather
2028, second
2021, you're
2021, i'd
2021, possible
2008, free
1974, wrong
1966, reason
1961, list
1954, post
1952, call
1951, old
1949, john
1948, non
1943, end
1937, yes
1936, others
1924, else
1919, hard
1917, man
1911, let
1894, above
1885, keep
1860, based
1852, found
1845, maybe
1845, public
1837, done
1825, example
1817, order
1804, ever
1802, seen
1798, having
1798, place
1796, card
1794, able
1792, isn't
1787, three
1784, version
1772, quite
1772, person
1764, next
1763, bad
1759, evidence
1758, yet
1747, wrote
1747, heard
1746, following
1743, always
1739, email
1736, send
1736, image
1709, problems
1706, general
1701, thought
1698, files
1694, doing
1694, looking
1684, means
1675, trying
1672, whether
1667, less
1655, bill
1643, team
1641, science
1628, given
1626, book
1625, internet
1623, away
1623, left
1621, start
1614, idea
1613, human
1612, several
1610, gun
1606, once
1592, subject
1583, children
1575, phone
1571, control
1569, seem
1564, word
1556, during
1556, big
1553, times
1553, kind
1543, getting
1542, systems
1534, note
1531, i'll
1521, home
1519, dos
1516, makes
1509, remember
1507, israel
1494, window
1493, saying
1491, change
1485, perhaps
1480, jews
1479, standard
1464, full
1451, rights
1441, opinions
1441, until
1434, cannot
1433, today
1428, already
1427, fbi
1422, research
1416, local
1415, christian
1414, money
1410, mr
1403, chip
1401, ask
1401, large
1394, american
1391, price
1389, small
1389, fire
1387, info
1383, source
1379, graphics
1371, matter
1371, answer
1369, mark
1361, issue
1360, agree
1358, ago
1355, interested
1350, claim
1349, religion
1343, stuff
1341, running
1338, war
1335, pc
1327, came
1326, there's
1326, whole
1323, told
1317, pretty
1317, bible
1315, president
1314, national
1309, questions
1305, show
1304, news
1301, hope
1300, disk
1300, message
1298, mac
1297, speed
1291, live
1287, address
1286, play
1282, days
1282, states
1281, current
1279, original
1277, works
1276, scsi
1274, code
1272, feel
1268, games
1266, care
1259, everything
1257, buy
1256, often
1245, understand
1239, love
1239, simply
1237, started
1232, fax
1225, history
1225, box
1222, type
1221, truth
1219, open
1219, important
1216, turkish
1212, armenian
1210, hand
1208, including
1207, certainly
1206, machine
1206, include
1205, went
1202, wouldn't
1199, center
1196, everyone
1194, mind
1188, church
1185, won't
1182, color
1175, guess
1171, making
1170, almost
1169, themselves
1166, side
1165, cause
1161, programs
1155, pay
1153, instead
1151, net
1147, although
1146, comes
1144, memory
1139, ftp
1135, men
1134, value
1133, later
1125, jewish
1125, earth
1121, working
1121, country
1119, area
1107, anyway
1106, april
1103, paul
1099, access
1097, black
1097, server
1094, michael
1092, light
1092, mike
1091, single
1090, technology
1090, unless
1089, consider
1089, display
1084, cost
1084, christians
1082, steve
1078, words
1077, religious
1076, write
1071, within
1065, frank
1065, difference
1061, known
1057, faith
1055, low
1051, death
1050, tried
1044, opinion
1044, theory
1042, sort
1039, sense
1035, clear
1031, check
1030, christ
1028, likely
1023, objective
1023, ms
1021, especially
1018, deal
1018, house
1017, talking
1015, copy
1014, sun
1011, posting
1009, he's
1008, contact
1007, similar
1003, win
1002, video
999, encryption
999, view
998, argument
998, major
996, correct
996, nice
995, couple
994, anybody
993, private
988, certain
988, exactly
986, armenians
977, night
976, jim
971, hell
971, thus
971, saw
968, force
967, police
966, took
963, dead
962, among
961, whatever
961, white
960, provide
960, simple
960, myself
959, situation
956, body
955, killed
953, third
953, stop
953, package
949, per
949, taken
947, oh
947, common
944, self
943, moral
939, sorry
937, fine
933, service
927, health
926, laws
926, reading
924, company
922, position
921, level
920, goes
918, upon
918, press
916, asked
916, they're
915, usually
913, form
913, happened
912, security
908, become
908, mine
907, itself
906, board
906, interesting
905, top
904, except
902, koresh
902, sound
902, political
900, statement
898, discussion
898, four
898, via
897, past
897, society
896, rest
895, haven't
894, groups
893, experience
892, size
891, ok
891, hardware
890, hear
888, peace
888, according
886, happen
885, personal
885, screen
883, books
883, hi
883, business
882, head
882, lines
879, text
878, user
877, wanted
876, therefore
876, format
874, particular
